feature,consistency_score,max_regime_drop,min_regime_drop,mean_regime_drop,best_regime,regime_specialist,is_dead_everywhere,is_harmful_anywhere
D_hl_run,0.0,0.00044,-2e-05,0.00011,,False,True,False
D_inside_day,0.615,8e-05,2e-05,5e-05,,False,True,False
D_lh_run,0.3,0.0001,1e-05,5e-05,,False,True,False
D_ll_run,0.0,3e-05,-2e-05,0.0,,False,True,False
D_macd,0.0,0.00049,-0.00026,0.00021,,False,True,False
D_macd_hist,0.512,0.00044,0.0001,0.00026,,False,True,False
D_macd_hist_rstd10,0.383,0.00068,0.0001,0.00038,,False,True,False
D_macd_signal,0.135,0.0001,-0.0,4e-05,,False,True,False
D_mdi14,0.0,0.00021,-5e-05,3e-05,,False,True,False
D_mdi14_diff1,0.319,0.00023,1e-05,0.00012,,False,True,False
D_mdi14_diff5,0.505,0.00018,4e-05,0.00012,,False,True,False
D_mdi14_rrank10,0.0,8e-05,-0.00013,-1e-05,,False,True,False
D_mdi14_rrank20,0.144,0.0001,-1e-05,5e-05,,False,True,False
D_midpoint_slope,0.357,0.00106,0.00026,0.0005,bear_range,False,False,False
D_monthly_trend,0.0,5e-05,-0.00032,-7e-05,,False,True,False
D_nr_day,0.002,1e-05,-0.0,0.0,,False,True,False
D_nr_expand,0.548,5e-05,2e-05,3e-05,,False,True,False
D_nr_length,0.789,0.0,-0.0,0.0,,False,True,False
D_obv,0.536,0.00053,0.00015,0.00034,,False,True,False
D_obv_slope,0.4,0.00015,0.0,0.0001,,False,True,False
D_obv_slope_lag1,0.0,0.00014,-0.00078,-0.00025,,False,True,True
D_obv_slope_lag2,0.0,0.00025,-8e-05,7e-05,,False,True,False
D_oli,0.731,0.00045,0.00021,0.00035,,False,True,False
D_pdi14,0.243,0.00074,9e-05,0.00033,,False,True,False
D_pivot,0.412,0.0001,1e-05,6e-05,,False,True,False
D_prev_close,0.629,8e-05,2e-05,6e-05,,False,True,False
D_prev_high,0.646,8e-05,3e-05,6e-05,,False,True,False
D_prev_inside_day,0.607,3e-05,1e-05,2e-05,,False,True,False
D_prev_low,0.625,0.00012,5e-05,7e-05,,False,True,False
D_range_pct,0.499,0.00149,0.00019,0.00094,bull_trend,False,False,False
D_range_to_atr14,0.441,0.00081,2e-05,0.00058,,False,True,False
D_resistance1,0.822,5e-05,3e-05,4e-05,,False,True,False
D_resistance2,0.885,7e-05,5e-05,7e-05,,False,True,False
D_ret_5d_roll_std,0.344,0.00114,0.00014,0.00064,bull_range,False,False,False
D_rsi14,0.591,0.00021,5e-05,0.00017,,False,True,False
D_rsi14_lag1,0.167,0.00067,-3e-05,0.00031,,False,True,False
D_rsi14_lag2,0.0,0.00076,-0.00025,0.00028,,False,True,False
D_rsi14_obv_x,0.246,0.00022,-3e-05,0.00013,,False,True,False
D_rsi14_z252,0.0,0.00118,-0.00139,-0.00044,bear_trend,False,False,True
D_rsi7,0.509,0.00067,0.00015,0.00038,,False,True,False
D_rsi7_gt_rsi14,0.0,0.00021,-0.0006,-0.00017,,False,True,True
D_rsi7_obv_x,0.313,0.00019,-2e-05,0.00012,,False,True,False
D_slope_stability,0.404,0.0008,0.00013,0.00046,,False,True,False
D_slope_stability_rmean50,0.39,0.0001,2e-05,5e-05,,False,True,False
D_slope_stability_rstd10,0.407,0.0,-0.00023,-0.00016,,False,True,False
D_slope_stability_rstd20,0.244,3e-05,-1e-05,2e-05,,False,True,False
D_sma20,0.561,0.00014,4e-05,8e-05,,False,True,False
D_sma200,0.0,5e-05,-3e-05,-1e-05,,False,True,False
D_sma5,0.581,8e-05,3e-05,5e-05,,False,True,False
D_sma50,0.699,0.00012,5e-05,9e-05,,False,True,False
D_structure_trend_code,0.768,5e-05,3e-05,4e-05,,False,True,False
D_support1,0.426,9e-05,2e-05,5e-05,,False,True,False
D_support2,0.681,0.00013,6e-05,0.0001,,False,True,False
D_tmr_cpr_bc,0.566,0.00011,3e-05,7e-05,,False,True,False
D_tmr_cpr_tc,0.475,0.0001,1e-05,7e-05,,False,True,False
D_tmr_cpr_vs_today_code,0.135,-1e-05,-0.00011,-4e-05,,False,True,False
D_vol_surge_20,0.591,8e-05,3e-05,5e-05,,False,True,False
D_vol_surge_50,0.412,4e-05,0.0,2e-05,,False,True,False
D_vol_yz_20,0.499,0.0003,7e-05,0.00017,,False,True,False
D_vol_yz_50,0.472,0.00041,0.00012,0.00022,,False,True,False
D_vol_z252,0.0,0.00083,-3e-05,0.00034,,False,True,False
D_vpoc,0.519,9e-05,2e-05,6e-05,,False,True,False
D_weekly_trend,0.0,0.00029,-6e-05,9e-05,,False,True,False
D_weekly_vpoc,0.579,0.00011,3e-05,7e-05,,False,True,False
D_wick_skew,0.0,0.00015,-1e-05,6e-05,,False,True,False
DayType_bearish,1.0,0.0,0.0,0.0,,False,True,False
DayType_bullish,1.0,0.0,0.0,0.0,,False,True,False
DayType_inside,1.0,0.0,0.0,0.0,,False,True,False
M_nifty_dist_sma200,0.391,0.00113,6e-05,0.00063,bear_trend,False,False,False
M_nifty_dist_sma50,0.368,0.0011,0.00021,0.00055,bear_range,False,False,False
M_nifty_ret,0.125,0.00098,-6e-05,0.00046,,False,True,False
M_nifty_ret_5d,0.0,0.00158,-0.00026,0.00041,bear_range,False,False,False
M_vix,0.0,0.00109,-0.00172,-4e-05,bear_range,False,False,True
M_vix_change,0.0,8e-05,-5e-05,1e-05,,False,True,False
M_vix_level_z60,0.0,0.00041,-0.00084,-0.00012,,False,True,True
Struct_downtrend,1.0,0.0,0.0,0.0,,False,True,False
Struct_range,1.0,0.0,0.0,0.0,,False,True,False
Struct_uptrend,1.0,0.0,0.0,0.0,,False,True,False
W_close_pos,0.616,-1e-05,-4e-05,-3e-05,,False,True,False
W_ret_13w,0.145,0.00019,-4e-05,0.00011,,False,True,False
W_ret_4w,0.262,0.0014,0.00014,0.00064,bear_range,False,False,False
W_vol_vs_4w,0.643,0.00088,0.00041,0.00055,,False,True,False
X_adx_sqr,0.626,8e-05,3e-05,5e-05,,False,True,False
X_cprw_atr_pct,0.497,0.00011,1e-05,8e-05,,False,True,False
X_macd_nonlin,0.507,0.00041,8e-05,0.00028,,False,True,False
X_regime_adx,0.378,0.00011,1e-05,6e-05,,False,True,False
X_regime_bull_soft,0.0,0.00023,-0.00032,-1e-05,,False,True,False
X_regime_dist_sma200,0.0,0.00031,-0.00035,-1e-05,,False,True,False
X_regime_dist_x_adx,0.0,0.00031,-0.0002,2e-05,,False,True,False
X_regime_trend_soft,0.633,9e-05,3e-05,7e-05,,False,True,False
X_rsi14_adx14,0.246,0.00065,7e-05,0.00029,,False,True,False
X_rsi_cross_strength,0.0,0.00013,-9e-05,-1e-05,,False,True,False
X_trend_atr_pct,0.444,0.00016,4e-05,9e-05,,False,True,False
long_score,0.658,8e-05,3e-05,6e-05,,False,True,False
regime_dispersion,0.472,0.00094,6e-05,0.00069,,False,True,False
regime_high_vol,0.345,0.00065,6e-05,0.00033,,False,True,False
regime_market_trend,0.0,0.00049,-0.00014,0.00016,,False,True,False
short_score,0.604,0.00031,0.00011,0.00018,,False,True,False
